Contract,NG,S&P500 E-Mini,BTC
1/3/2024,,1,1
1/4/2024,1,1.004171718,1.010529332
1/5/2024,1.068546158,1.008208863,1.022777738
1/6/2024,1.202874516,1.012380581,1.033736838
1/7/2024,1.357103372,1.015861427,1.042403839
1/8/2024,1.399668325,1.019458302,1.049996419
1/9/2024,1.394693201,1.023055176,1.05866342
1/10/2024,1.430624655,1.026268964,1.063598675
1/11/2024,1.634604754,1.029589878,1.068698439
1/12/2024,1.907683803,1.032803665,1.073633694
1/1/2025,2.065229409,1.03596001,1.079382247
1/2/2025,1.976229961,1.039116354,1.085130801
1/3/2025,1.786622443,1.041967245,1.090323043
1/4/2025,1.673300166,1.044874308,1.092205616
1/5/2025,1.696517413,1.047687595,1.094027462
1/6/2025,1.7960199,1.050594658,1.095910035
1/7/2025,1.891100055,1.053296685,1.102403534
1/8/2025,1.913764511,1.056088779,1.109113483
1/9/2025,1.880044223,1.058880873,1.115823432
1/10/2025,1.912106136,1.06135549,1.12231693
1/11/2025,2.095080155,1.063912594,1.129026879
1/12/2025,2.316749585,1.06638721,1.135520378
1/1/2026,2.44997236,1.068737679,
1/2/2026,2.342177999,1.071088148,
1/3/2026,2.027086788,1.073211152,
1/5/2026,1.82697623,1.078326839,
1/7/2026,2.012161415,1.083442525,
1/10/2026,2.028745163,1.091157987,
1/11/2026,2.216694306,1.093757762,
1/1/2027,2.588723051,1.098873449,
1/3/2027,2.08291874,1.103821408,
